title,control_title,category,priority
IAM,IAM inline policy should not have administrative privileges,Compliance,p2
IAM,IAM AWS managed policies should be attached to IAM role,Compliance,p2
IAM,IAM policies should not allow full '*' administrative privileges,Compliance,p2
IAM,IAM roles should not have any assume role policies attached,Compliance,p2
IAM,IAM policy should not grant full access to cloudtrail service,Compliance,p2
IAM,IAM policy should not grant full access to KMS service,Compliance,p2
IAM,IAM policy should be in use,Compliance,p2
IAM,IAM roles should not have read only access for external AWS accounts,Compliance,p2
IAM,IAM Security Audit role should be created to conduct security audits,Compliance,p2
IAM,Ensure access to AWSCloudShellFullAccess is restricted,Compliance,p2
IAM,IAM users should be in at least one group,Compliance,p2
IAM,IAM user should not have any inline or attached policies,Compliance,p2
Neptune,Neptune DB clusters should have deletion protection enabled,Compliance,p2
Network Firewall,Network Firewall firewalls should have deletion protection enabled,Compliance,p2
Operational Excellence,CodeBuild projects should have logging enabled,AWS Well-Architected Framework,p2
Operational Excellence,ECS task definitions should have logging enabled,AWS Well-Architected Framework,p2
Operational Excellence,Elastic Beanstalk enhanced health reporting should be enabled,AWS Well-Architected Framework,p2
Operational Excellence,EC2 instance detailed monitoring should be enabled,AWS Well-Architected Framework,p2
Operational Excellence,VPC flow logs should be enabled,AWS Well-Architected Framework,p2
RDS,RDS Aurora clusters should have backtracking enabled,Compliance,p2
RDS,RDS DB clusters should have automatic minor version upgrade enabled,Compliance,p2
RDS,RDS DB instance and cluster enhanced monitoring should be enabled,Compliance,p2
RDS,RDS DB instances should have deletion protection enabled,Compliance,p2
RDS,RDS DB instances should have iam authentication enabled,Compliance,p2
RDS,RDS DB instance multiple az should be enabled,Compliance,p2
RDS,An RDS event notifications subscription should be configured for critical database security group events,Compliance,p2
Redshift,AWS Redshift clusters should have automatic snapshots enabled,Compliance,p2
Redshift,AWS Redshift should have automatic upgrades to major versions enabled,Compliance,p2
Redshift,Redshift cluster audit logging and encryption should be enabled,Compliance,p2
Reliability,ELB classic load balancers should have cross-zone load balancing enabled,AWS Well-Architected Framework,p2
Reliability,RDS DB instance multiple az should be enabled,AWS Well-Architected Framework,p2
Reliability,S3 bucket cross-region replication should be enabled,AWS Well-Architected Framework,p2
Reliability,EC2 instance detailed monitoring should be enabled,AWS Well-Architected Framework,p2
Reliability,CodeBuild projects should have logging enabled,AWS Well-Architected Framework,p2
Reliability,ECS task definitions should have logging enabled,AWS Well-Architected Framework,p2
Reliability,Elastic Beanstalk enhanced health reporting should be enabled,AWS Well-Architected Framework,p2
Reliability,DynamoDB table auto scaling should be enabled,AWS Well-Architected Framework,p2
Reliability,Backup recovery points manual deletion should be disabled,AWS Well-Architected Framework,p2
Reliability,ElastiCache Redis cluster automatic backup should be enabled with retention period of 15 days or greater,AWS Well-Architected Framework,p2
Reliability,RDS Aurora clusters should have backtracking enabled,AWS Well-Architected Framework,p2
Route 53,Route 53 domains auto renew should be enabled,Compliance,p2
S3,S3 access points should have block public access settings enabled,Compliance,p2
S3,S3 bucket cross-region replication should be enabled,Compliance,p2
S3,S3 buckets should have event notifications enabled,Compliance,p2
S3,Ensure MFA Delete is enabled on S3 buckets,Compliance,p2
S3,S3 bucket object lock should be enabled,Compliance,p2
S3,S3 buckets with versioning enabled should have lifecycle policies configured,Compliance,p2
Security,VPC flow logs should be enabled,AWS Well-Architected Framework,p2
Security,VPC flow logs should be enabled,AWS Well-Architected Framework,p2
Security,VPC flow logs should be enabled,AWS Well-Architected Framework,p2
Security,VPC Security groups should only allow unrestricted incoming traffic for authorized ports,AWS Well-Architected Framework,p2
Security,VPC flow logs should be enabled,AWS Well-Architected Framework,p2
Security,VPC flow logs should be enabled,AWS Well-Architected Framework,p2
SSM,SSM parameters encryption should be enabled,Compliance,p2
VPC,VPC endpoint services should have acceptance required enabled,Compliance,p2
VPC,VPC flow logs should be enabled,Compliance,p2
VPC,VPC Security groups should only allow unrestricted incoming traffic for authorized ports,Compliance,p2
VPC,VPC security groups should be associated with at least one ENI,Compliance,p2
VPC,VPC security groups should restrict uses of 'launch-wizard' security groups.,Compliance,p2
VPC,Unused EC2 security groups should be removed,Compliance,p2
WAFv2,AWS WAF rules should have CloudWatch metrics enabled,Compliance,p2
WorkSpaces,WorkSpaces root and user volume encryption should be enabled,Compliance,p2
